timestamp_ms,bytes_read,bytes_written
0,12816384,38019072
5935,13828096,4207161344
11785,13828096,4207161344
17623,151126016,4275142656
23436,151126016,4432896000
29252,151126016,4597211136
35085,151130112,4782821376
40908,285306880,5039177728
46736,554123264,5408555008
52583,825163776,6036369408
58461,1094225920,6758944768
64288,1630756864,7493357568
70110,2301272064,8306401280
75975,3106041856,9275162624
81841,3776458752,10409463808
87704,4497756160,11660726272
93558,5407825920,12889526272
99433,6480601088,13791191040
105277,7288000512,15124705280
111176,8373280768,16266596352
117045,9074446336,17710964736
122939,9953562624,19083296768
128786,10774827008,20331511808
134640,11473432576,21572624384
140489,12315254784,23019515904
146379,13517729792,24127324160
152279,14663720960,25120333824
158174,15907397632,26166153216
164094,17017593856,27731079168
170012,18378035200,28916850688
175906,19568336896,30311366656
181807,21165584384,31728369664
187713,22570213376,33173442560
193622,24006402048,34742923264
199505,25454661632,36202287104
205408,26910416896,37952815104
211396,28295593984,39467442176
217259,29830041600,41018904576
223199,31353479168,42314772480
229070,32949153792,43901202432
234954,34633248768,45600141312
240842,36240846848,47254233088
246773,37856059392,48507154432
252710,39650938880,49895034880
258613,41126023168,51895435264
264474,43165085696,53310074880
270446,44860153856,54229684224
276340,46352166912,56314826752
282259,48219222016,57882329088
288266,49946091520,59264540672
294144,51769311232,60956827648
300060,53459152896,62099517440
306031,55509377024,63749758976
311940,57208672256,64909942784
317897,59251867648,66841579520
323810,61074755584,67918102528
329673,62962982912,69797580800
335603,64684105728,71019077632
341517,66369949696,72743919616
347451,68506013696,73792147456
353403,69892853760,75565637632
359354,71738654720,76551548928
365242,73865969664,78399852544
371185,75882491904,79504388096
377119,77806174208,81310130176
383080,79471267840,82242138112
389013,81903923200,84290453504
394976,83942424576,85197557760
400888,86017646592,87533592576
406868,87900966912,88397615104
412767,89672777728,89863884800
418768,91757518848,91347025920
424700,93574840320,92392099840
430621,95585722368,94182846464
436571,97327484928,94894538752
442469,99280273408,97157455872
448439,101520928768,98777321472
454368,103487664128,100108308480
460302,105596833792,101786218496
