timestamp_ms,physical_bytes,peak_physical_bytes
0,3441048,3441048
5005,638803968,639541272
10003,638803968,639541272
15009,650698776,650698776
20010,1018241504,1018241504
25010,1240752776,1240752776
30010,1985242624,1985242624
35010,2376968256,2570119184
40010,3656297808,4170886456
45010,2385458552,4698469704
50010,3181344168,4698469704
55010,4283168384,4698469704
60009,3241654800,5584566800
65009,4564040400,5584566800
70004,2962128000,5670042704
75004,5226036544,5670042704
80010,5927878504,6302351208
85009,4359978856,6302351208
90010,5608505192,6302351208
95009,4231004824,6477185472
100010,5848237008,6477185472
105004,5186078368,7523648992
110009,6153619104,7523648992
115010,7017810240,7713048896
120010,6111512896,7713048896
125010,8193231792,8193231792
130006,6301502672,8413793320
135012,8104873192,8413793320
140003,6136123104,8583007968
145009,7873220320,8583007968
150009,6489329808,8583007968
155010,7957991568,8583007968
160007,5727228600,8731447968
165005,7480890040,8731447968
170005,6270899424,8806569184
175005,7522014432,8806569184
180005,6441932432,8806569184
185003,6481991312,8806569184
190005,6364043712,9067796736
195005,8338610624,9067796736
200005,6771530536,9139444232
205004,6844193576,9139444232
210000,6444080416,9375358240
215005,7733812512,9375358240
220005,8056757824,9375358240
225001,6675849176,9375358240
230004,8856788952,9375358240
235005,6326378864,9375358240
240004,7454368112,9375358240
245005,7266542464,9555600112
250005,6852060032,9555600112
255005,7863427968,9555600112
260005,6485108016,9555600112
265005,8555439408,9555600112
270000,6267889520,9555600112
275005,7289268080,9555600112
280005,7204661632,9555600112
285005,7363979648,9555600112
290004,8300980608,9555600112
295005,6329854840,9555600112
300001,8258317176,9555600112
305005,5542751552,9555600112
310004,7205498176,9555600112
315001,7990816496,9555600112
320003,6274674416,9555600112
325005,7338503920,9555600112
330002,5889847456,9555600112
335001,7548154016,9555600112
340005,6782268080,9996546736
345004,6978351792,9996546736
346065,6903214768,9996546736
