phase,plugin,start_ms,duration_ms
import,indexer,0.627,428.786
import,mappings,429.447,22.856
import,constants,452.346,0.094
import,price,452.462,12.587
import,blocks,465.095,131.217
import,pools,596.500,561.841
import,inputs,596.460,567.010
import,outputs,596.472,575.179
import,mining,596.459,588.881
import,transactions,596.469,597.875
import,op_return,1187.898,318.821
import,investing,1506.963,7.351
import,market,1506.951,136.733
import,distribution,1506.939,1541.260
import,capital_sentiment,3048.364,95.162
import,indicators,3048.313,112.852
import,bedrock,3048.353,147.251
import,coinflow,3048.342,661.002
import,cointime,3048.318,666.937
import,supply,3715.429,19.947
import,rarity_meter,3715.437,482.970
