timestamp_ms,read_bytes,written_bytes
0,4378624,3088384
5005,7143424,15168229376
10005,7143424,15168229376
15005,7143424,15168229376
20004,156721152,15168229376
25005,156721152,15168229376
30005,693493760,15168229376
35005,1230307328,15168229376
40004,2168975360,15168229376
45004,3108347904,16197419008
50005,4181733376,16197419008
55005,5398171648,16197419008
60005,6474637312,17085321216
65005,7822163968,17085321216
70005,8897392640,17831686144
75005,9961639936,18502205440
80003,11279384576,18641125376
85005,12085104640,19508248576
90005,13276594176,19572342784
95005,14366334976,19572342784
100005,15329169408,21285244928
105005,16908775424,21721235456
110005,18265825280,22525480960
115005,19345330176,22708060160
120005,20689920000,22708060160
125005,21765218304,24019886080
130005,23599984640,24250765312
135002,24605712384,25445892096
140005,26147241984,25445892096
145005,27241193472,26496765952
150005,29169778688,27780513792
155005,30802571264,28832342016
160005,32197169152,29017116672
165006,33831194624,29020499968
170004,35180929024,30983835648
175001,37095260160,31417696256
180010,38263287808,33256603648
185009,39953309696,33897746432
190006,41264467968,35457081344
195003,43382538240,36604108800
200010,44970491904,37892186112
205010,47147044864,38180409344
210009,47891726336,39603269632
215010,50099851264,40486371328
220005,51632668672,42011099136
225010,53747974144,43150577664
230010,55284862976,43506139136
235003,56886689792,44725080064
240010,58899968000,45119746048
245004,60156837888,47425323008
250010,61896916992,48806117376
255010,63738118144,49879506944
260010,65705447424,50276495360
265003,67195985920,51968438272
270010,69376892928,54030147584
275010,71561703424,54705537024
280010,73220300800,56096481280
285010,75398545408,56379580416
290002,76299341824,58311938048
295010,78280544256,59347361792
300010,80066637824,60399620096
305003,81809002496,60622602240
310009,83397406720,61814603776
315010,85805113344,62891495424
320010,87569559552,63022604288
325010,89077747712,65208774656
330010,91156561920,66284359680
335002,92472815616,67711938560
340009,94684639232,68242141184
345009,96510955520,69291225088
350010,98598051840,69679767552
355010,100823236608,70084251648
360010,102460153856,72754089984
365009,103960375296,74255548416
370010,105446686720,75893891072
375008,108030705664,76533665792
380010,110714912768,76941623296
385010,112322088960,79398023168
390009,113825366016,80560795648
395010,115342884864,81663983616
400009,117883355136,82050568192
405001,120562536448,82459037696
410010,121575522304,85114363904
415010,123219841024,86557097984
420010,125270388736,88313737216
425009,127844454400,89016389632
430010,130326368256,89435332608
435009,131611721728,91740368896
440004,133776048128,93172785152
445010,135596425216,94075047936
450010,137654599680,94858182656
455009,140487282688,95271620608
460009,141710094336,97400745984
465004,143931793408,98977243136
