timestamp_ms,read_bytes,written_bytes
0,40497152,1253376
5005,46358528,15186268160
10004,46358528,15186268160
15005,46358528,15186268160
20002,181927936,15186268160
25005,316100608,15186268160
30002,718700544,15186268160
35005,1255518208,15186268160
40005,2328346624,15186268160
45005,3133870080,16261398528
50002,4238471168,16261398528
55005,5554987008,16261398528
60001,6631124992,17191251968
65005,7910264832,17191251968
70005,8917938176,18238025728
75005,10369220608,18896855040
80005,11577524224,18896855040
85003,12383252480,19869151232
90005,13591158784,19869151232
95002,14798082048,19869151232
100005,15906500608,22057312256
105005,17400987648,22148349952
110005,18484154368,23182655488
115004,20100079616,23182655488
120005,21310230528,24008818688
125002,22651899904,25008316416
130001,24395730944,25008316416
135005,25601581056,26035499008
140001,27076915200,26035499008
145004,28598751232,27751706624
150005,30438449152,28660109312
155005,31940931584,30223491072
160005,33471332352,30640959488
165005,34799157248,31939887104
170005,36798451712,33027096576
175005,38480486400,33788678144
180005,39863910400,35143024640
185001,41412440064,35143024640
190005,42984554496,37280313344
195000,45233672192,38240849920
200001,47112740864,39508893696
205001,48718512128,39660130304
210004,50251427840,41854693376
215003,52576645120,42500177920
220005,53393022976,44315688960
225004,55130087424,45039427584
230003,56646746112,46254084096
235005,59036405760,46758694912
240001,60627984384,48034213888
245005,62272716800,49866665984
250004,64375787520,50773475328
255005,66350215168,52223995904
260000,68410445824,52700565504
265005,69811363840,54803738624
270000,71342030848,56290361344
275004,73082073088,58058420224
280000,75382411264,58584780800
285005,77114241024,59575173120
290005,78761422848,61143916544
295005,80685404160,61530189824
300004,82522177536,63089954816
305000,84561154048,63089954816
310005,85982679040,64758120448
315000,87908986880,65138409472
320005,89601703936,67274412032
325005,91618684928,68135956480
330004,92928974848,69830987776
335000,95004651520,70552551424
340004,97059557376,71691251712
345005,99289137152,72389464064
350004,101746417664,72760971264
355004,103196254208,75007524864
360004,104567103488,76410658816
365003,106157899776,78351806464
370004,109053296640,79204290560
375004,111618076672,79584280576
380003,113442217984,81717231616
385005,115002535936,82981048320
390005,116619276288,84150755328
395005,119549698048,85133389824
400000,121686147072,85533511680
405001,123222196224,87589687296
410004,124861779968,88986882048
415000,126862872576,90072903680
420002,129236201472,92320747520
425005,131742351360,92773724160
430005,133616381952,94239735808
435002,135583490048,95658930176
440005,137709932544,96669097984
445005,140263362560,98327044096
450003,142404689920,98996785152
455003,144631468032,100178726912
460005,146279628800,102086053888
465005,148378394624,103448317952
470010,150283501568,105920970752
475009,153828331520,106891321344
480010,156620267520,107269099520
485010,158800965632,109330264064
490008,161404731392,110689177600
495010,163209883648,111571722240
500009,165588377600,113779593216
505008,169014607872,114556755968
510002,171781894144,114915352576
515003,172911710208,117085077504
520010,175370584064,117854666752
525010,177977151488,117944279040
530009,179916431360,119997669376
535004,182422618112,120457670656
540010,184373800960,120822202368
545009,186017517568,122264842240
550007,188019589120,122264842240
555000,190059692032,123686240256
560010,191737688064,124312506368
565010,193697230848,124312506368
570007,194827558912,126142644224
575010,196625682432,126641958912
580010,198238679040,128131325952
585010,200815886336,128876621824
590001,202656829440,129254670336
595010,204058918912,131313512448
600010,206081871872,131901931520
605010,207675150336,132145385472
610009,210078986240,133906386944
615010,212073463808,134411718656
620009,213836288000,136190648320
625004,215409639424,137505357824
630009,217514573824,137795776512
635003,219567017984,139681333248
640010,221778702336,140546633728
645010,223863365632,140913328128
650010,225472954368,143174754304
655008,227635113984,144698773504
660003,230067646464,145113628672
665007,231064981504,146381103104
670003,233920577536,146904072192
675001,235861831680,147285934080
680010,238391951360,147574267904
685000,240072851456,149546979328
690007,242551689216,150304616448
695008,244486664192,150512459776
700007,246352707584,150512459776
705008,248701100032,153239552000
710009,251228372992,154351218688
715009,253252354048,154717810688
720010,254532853760,156033224704
725002,256761610240,156901011456
730009,258768896000,156920082432
735009,260494864384,158253494272
740004,262302900224,159420084224
745009,264964755456,160004169728
750010,266613145600,161433628672
755006,268513710080,162230329344
760007,270657777664,162702581760
765002,272931106816,163315081216
770010,275434864640,165578407936
775006,277766844416,166385635328
780005,279754768384,166536568832
785012,281659592704,168534265856
790005,283837648896,168938770432
795009,286032330752,168938770432
800001,288380854272,171336753152
805010,290699472896,172531187712
810010,293123428352,173409972224
815007,295046582272,175102312448
820010,297305833472,175811149824
825007,299663638528,175811149824
830001,301497049088,177874251776
835009,304342122496,179165683712
840002,307048534016,179466207232
845005,309063258112,181136637952
850010,312052047872,182009634816
855005,313648115712,182369820672
860010,315857186816,183973175296
865010,318426165248,185432064000
870000,321256353792,186574516224
875010,323893919744,186650718208
880010,325954396160,188633116672
885010,328417271808,189097390080
890009,331199266816,189097390080
895004,333388034048,191327281152
900009,337028984832,192376852480
905010,339971432448,192454918144
910009,341894127616,194009661440
915006,344024322048,194869215232
920010,346398543872,195082645504
925004,348910649344,196868096000
930001,352393310208,198264557568
935004,355539206144,199101149184
940003,357948121088,200527020032
945010,360807927808,201394970624
950001,363630219264,202079789056
955000,366821867520,202357780480
960008,369584832512,204725153792
965010,372644417536,205965660160
970004,375892672512,206159032320
975000,378404560896,207981817856
980006,381009932288,208666341376
985010,384422449152,209180512256
990004,386864640000,211323146240
995010,390607818752,212662403072
1000010,393884045312,213185462272
1005010,396531519488,214496673792
1010007,398709846016,215523741696
1015010,401180696576,216068247552
1020010,404119085056,216068247552
1025010,406223159296,218241359872
1030008,409818947584,219633303552
1035009,412668112896,219864993792
1040002,415132749824,221219835904
1045007,417806262272,222162460672
1050010,420703592448,222684278784
1055010,423377870848,222684278784
1060008,426055131136,225053265920
1065010,428907634688,226209525760
1070007,431671660544,226478362624
1075006,433901158400,228444725248
1080005,436616261632,229207326720
1085010,439429361664,229902913536
1090009,441591406592,231265710080
1095002,444646576128,232901541888
1100007,447873257472,233599983616
1105010,450672386048,233599983616
1110009,453276794880,235610800128
1115008,455930593280,236348399616
1120009,458777493504,236676128768
1125007,461328510976,238817497088
1130009,464508039168,240139489280
1135010,467471052800,240783704064
1140006,470048608256,242272165888
1145010,472856514560,243143155712
1150010,475862474752,243841507328
1155010,479211905024,244538667008
1160007,482733121536,247197364224
1165008,486684094464,248422244352
1170010,490570211328,248553574400
1175000,493505024000,248778555392
1180010,496698241024,250659504128
1185003,499823550464,251358969856
1190010,503342866432,251635085312
1195009,506147201024,253347930112
1200002,509583085568,254610145280
1205008,512866127872,255191302144
1210006,516096364544,255191302144
1215010,518510133248,257091719168
1220002,521399619584,257745661952
1225010,524684996608,258446860288
1230001,528926048256,258920677376
1235006,531617370112,261159313408
1240006,535214968832,262191296512
1245001,539091406848,262752874496
1250001,542781181952,262752874496
1255010,546023071744,264728522752
1260007,549462843392,265486585856
1265010,553699147776,265868591104
1270000,557345284096,265869729792
1275003,560417726464,268296970240
1280010,564291137536,269330325504
1285010,568242241536,269743661056
1290009,571827949568,269743661056
1295001,574312067072,271826145280
1300010,578363060224,272512135168
1305005,581452922880,273237983232
1310010,585502154752,273801252864
1315005,588924346368,275382923264
1320010,593112248320,276724781056
1325008,596708548608,277758078976
1330010,601228767232,278174912512
1335004,604956889088,278174912512
1340005,607578914816,280031539200
1345004,611427983360,280704630784
1350005,615604236288,281273966592
1355005,619756429312,281273966592
1360004,622764310528,282716618752
1365005,626729861120,284164759552
1370000,630732554240,284974055424
1375005,634672640000,285650116608
1380005,639248859136,285881790464
1385000,642263863296,287956226048
1390005,645616689152,288657530880
1395001,650148704256,288997621760
1400005,654327529472,288997621760
1405005,657429200896,290702622720
1410004,661803220992,292100255744
1415005,665768570880,292802187264
1420005,669863178240,292802187264
1425005,673038184448,294335467520
1430005,677062737920,295298568192
1435005,681208094720,295997456384
1440004,686078042112,296162279424
1445001,689210732544,296424583168
1450003,692970975232,298796683264
1455003,697484685312,299963154432
1460003,702101176320,300690964480
1465003,706647171072,301144940544
1470003,710222000128,302219292672
1475005,713948860416,303532929024
1480005,718923980800,304231870464
1485005,722984005632,304963698688
1490005,727426121728,305012461568
1495005,731152289792,306872541184
1500002,735792205824,308356595712
1505005,740817846272,309428740096
1510003,745011695616,309732409344
1515005,750316244992,309732409344
1520003,753638305792,311352008704
1525000,758397612032,312120848384
1530005,762964144128,312727711744
1535005,767255027712,312727711744
1540005,770904584192,313173041152
1545003,775177691136,315409645568
1550005,779337269248,316747661312
1555005,783903637504,317662081024
1560003,788177760256,318176559104
1565005,792537989120,318176559104
1570002,796147752960,320493490176
1575000,800368828416,321225715712
1580001,805718663168,321692409856
1585003,809893412864,321692409856
1590000,815011885056,321692409856
1595003,818133950464,324321923072
1600005,822291488768,325409083392
1605005,827703848960,326177955840
1610005,832142123008,326177955840
1615005,837336297472,326177955840
1620007,841201344512,326396817408
1625004,845921034240,328353615872
1630000,849845796864,329087799296
1635005,854461521920,329377984512
1640005,859195084800,329377984512
1645000,864415592448,329377984512
1650005,867191525376,331242008576
1655002,871934099456,332695142400
1660002,876864024576,333815185408
1665005,881862012928,334541225984
1670003,886704652288,334830460928
1675002,891503775744,334830460928
1680010,895371665408,336839925760
1685003,899611598848,337777762304
1690003,904559439872,338437529600
1695001,909973630976,338437529600
1700002,915527852032,338437529600
1705002,920479768576,338437529600
1710010,924820799488,339887702016
1715006,929496612864,341463199744
1720002,934671298560,342789275648
1725010,939005206528,343965548544
1730004,943889973248,344141193216
1735010,949125091328,344141193216
1740001,953035771904,345873580032
1745002,957991182336,346775789568
