phase,plugin,start_ms,duration_ms
import,indexer,0.676,657.253
import,mappings,658.084,14.619
import,constants,672.833,0.182
import,price,673.119,14.475
import,blocks,687.725,140.025
import,pools,827.942,557.679
import,inputs,827.930,563.806
import,outputs,827.982,569.894
import,mining,827.925,583.851
import,transactions,827.964,589.665
import,op_return,1413.181,323.734
import,investing,1737.117,7.656
import,market,1737.100,145.664
import,distribution,1737.083,1325.506
import,capital_sentiment,3062.746,65.528
import,indicators,3062.704,83.939
import,bedrock,3062.733,109.749
import,coinflow,3062.724,599.717
import,cointime,3062.710,605.883
import,supply,3668.777,23.302
import,rarity_meter,3668.794,475.857
compute,indexer,14150.349,6801660.808
import,indexer,6825892.838,445.739
import,mappings,6826338.620,15.128
import,constants,6826353.775,0.029
import,price,6826353.830,4.996
import,blocks,6826358.863,17.538
import,mining,6826376.498,14.969
import,pools,6826376.531,23.081
import,inputs,6826376.481,29.271
import,outputs,6826376.486,35.029
import,transactions,6826376.489,40.946
import,op_return,6826391.875,32.788
import,investing,6826424.797,1.305
import,market,6826424.797,16.919
import,distribution,6826424.787,248.292
import,capital_sentiment,6826673.212,4.885
import,indicators,6826673.192,12.613
import,bedrock,6826673.217,25.027
import,coinflow,6826673.189,34.733
import,cointime,6826673.188,41.729
import,supply,6826715.019,11.329
import,rarity_meter,6826715.034,60.365
compute,indexer,6826776.184,1037.977
compute,mappings,6827823.657,9.290
compute,blocks,6827832.987,457.946
compute,price,6828291.000,88778.124
compute,inputs,6828290.986,89138.197
compute,market,6917430.991,707.784
compute,outputs,6917429.433,650484.099
compute,transactions,6917430.936,829853.199
compute,op_return,7747284.205,11267.859
compute,mining,7747284.206,40058.509
compute,investing,7787343.169,0.016
compute,pools,7787343.276,12736.227
compute,distribution,7787343.250,1888345.880
compute,supply,9675689.523,36.994
compute,capital_sentiment,9675689.282,104.294
compute,indicators,9675689.277,263.753
compute,coinflow,9675689.541,3244.361
compute,cointime,9675726.571,5858.716
compute,bedrock,9681585.349,120916.459
compute,rarity_meter,9802502.833,2949.315
import,indexer,9806329.937,463.568
import,mappings,9806793.548,10.895
import,constants,9806804.474,0.059
import,price,9806804.576,21.051
import,blocks,9806825.686,23.215
import,outputs,9806848.999,38.842
import,pools,9806849.015,44.739
import,mining,9806849.015,59.992
import,op_return,9806909.227,57.964
import,inputs,9806848.985,130.451
import,transactions,9806849.011,205.461
import,investing,9807054.629,1.349
import,market,9807054.629,30.130
import,distribution,9807054.627,462.606
import,capital_sentiment,9807517.384,8.383
import,indicators,9807517.364,26.756
import,bedrock,9807517.375,47.172
import,coinflow,9807517.353,72.227
import,cointime,9807517.350,83.273
import,supply,9807600.761,6.201
import,rarity_meter,9807600.772,41.903
compute,indexer,9807644.879,878.689
compute,mappings,9808536.031,3.964
compute,blocks,9808540.029,5.185
compute,price,9808545.243,4.522
compute,inputs,9808545.257,102.005
compute,market,9808647.414,25.658
compute,transactions,9808647.404,32.276
compute,mining,9808679.734,22.783
compute,op_return,9808679.725,25.599
compute,outputs,9808647.406,605.636
compute,investing,9809253.102,0.001
compute,pools,9809253.142,3.093
compute,distribution,9809253.137,683.271
compute,indicators,9809936.495,0.606
compute,supply,9809936.498,3.567
compute,capital_sentiment,9809936.510,14.295
compute,coinflow,9809936.502,23.955
compute,cointime,9809940.095,31.631
compute,bedrock,9809971.767,155.576
compute,rarity_meter,9810127.390,280.792
