phase,plugin,start_ms,duration_ms
import,indexer,0.456,3783.093
import,mappings,3783.701,5.170
import,constants,3788.954,0.234
import,price,3789.251,4.396
import,blocks,3793.722,189.394
import,inputs,3983.241,623.976
import,pools,3983.260,647.473
import,outputs,3983.245,659.789
import,mining,3983.250,812.991
import,transactions,3983.261,899.252
import,op_return,4796.424,469.211
import,investing,5265.774,4.695
import,market,5265.755,183.259
import,distribution,5265.758,1843.550
import,capital_sentiment,7109.503,4.141
import,indicators,7109.457,45.830
import,bedrock,7109.550,93.666
import,coinflow,7109.489,793.111
import,cointime,7109.457,859.058
import,supply,7968.625,52.523
import,rarity_meter,7968.642,746.611
compute,indexer,18720.955,15724924.974
import,indexer,15745522.554,499.584
import,mappings,15746022.163,6.180
import,constants,15746028.361,0.518
import,price,15746028.891,1.823
import,blocks,15746030.728,8.862
import,mining,15746039.865,10.149
import,inputs,15746039.799,12.604
import,pools,15746039.860,13.949
import,outputs,15746040.086,14.964
import,transactions,15746039.859,17.531
import,op_return,15746050.337,17.466
import,investing,15746067.930,2.295
import,market,15746067.921,11.170
import,distribution,15746067.922,260.855
import,capital_sentiment,15746329.114,2.151
import,indicators,15746329.062,3.234
import,bedrock,15746329.081,7.776
import,coinflow,15746329.077,16.831
import,cointime,15746329.065,19.788
import,supply,15746348.930,2.279
import,rarity_meter,15746348.947,38.530
compute,indexer,15746387.894,2548.773
compute,mappings,15748947.579,9.998
compute,blocks,15748957.629,448.484
compute,price,15749406.179,150351.426
compute,inputs,15749406.218,366283.230
compute,market,16115690.117,51970.300
compute,transactions,16115690.143,748328.516
compute,op_return,16864018.771,10815.428
compute,mining,16864018.746,85157.767
compute,outputs,16115690.923,2190539.890
compute,investing,18306232.732,1.656
compute,pools,18306234.600,15409.311
compute,distribution,18306234.589,2690548.102
compute,supply,20996783.031,43.427
compute,capital_sentiment,20996782.892,106.183
compute,indicators,20996782.894,288.711
compute,coinflow,20996783.026,2803.046
compute,cointime,20996826.495,4685.191
compute,bedrock,21001513.262,106452.627
compute,rarity_meter,21107966.433,2548.994
import,indexer,21117628.067,224.955
import,mappings,21117853.045,6.270
import,constants,21117859.330,0.184
import,price,21117859.528,49.409
import,blocks,21117908.952,16.655
import,outputs,21117925.981,21.636
import,pools,21117925.870,26.155
import,mining,21117925.842,29.979
import,op_return,21117955.954,60.428
import,inputs,21117925.659,96.668
import,transactions,21117925.848,187.693
import,investing,21118113.830,1.877
import,market,21118113.825,19.010
import,distribution,21118113.825,364.453
import,capital_sentiment,21118478.399,2.317
import,indicators,21118478.363,5.048
import,coinflow,21118478.370,19.229
import,bedrock,21118478.379,31.771
import,cointime,21118478.369,33.745
import,supply,21118512.205,1.852
import,rarity_meter,21118512.221,36.191
compute,indexer,21118549.372,844.333
compute,mappings,21119399.220,3.156
compute,blocks,21119402.402,5.446
compute,price,21119407.927,3.769
compute,inputs,21119407.935,194.240
compute,transactions,21119602.251,28.781
compute,market,21119602.252,38.066
compute,op_return,21119631.062,23.585
compute,mining,21119631.058,25.238
compute,outputs,21119602.237,280.229
compute,investing,21119882.517,0.001
compute,pools,21119882.545,3.038
compute,distribution,21119882.548,484.409
compute,indicators,21120367.013,0.391
compute,supply,21120367.082,2.220
compute,capital_sentiment,21120367.021,13.005
compute,coinflow,21120367.084,18.436
compute,cointime,21120369.317,24.224
compute,bedrock,21120393.568,171.829
compute,rarity_meter,21120565.429,257.391
