phase,plugin,start_ms,duration_ms
import,indexer,0.271,419.487
import,mappings,419.789,2.759
import,constants,422.573,0.063
import,price,422.646,2.735
import,blocks,425.401,182.664
import,inputs,608.173,643.940
import,pools,608.167,670.379
import,outputs,608.145,682.504
import,mining,608.145,850.160
import,transactions,608.209,917.787
import,op_return,1458.417,461.732
import,investing,1920.258,4.520
import,market,1920.238,190.243
import,distribution,1920.232,1854.680
import,capital_sentiment,3775.063,5.168
import,indicators,3775.007,15.417
import,bedrock,3775.022,64.128
import,coinflow,3775.029,815.163
import,cointime,3775.016,880.597
import,supply,4655.716,29.062
import,rarity_meter,4655.732,731.938
compute,indexer,15393.322,13591691.634
import,indexer,13608855.864,475.099
import,mappings,13609330.988,5.220
import,constants,13609336.416,0.285
import,price,13609336.715,1.453
import,blocks,13609338.183,8.557
import,mining,13609346.814,12.124
import,outputs,13609346.787,14.119
import,inputs,13609346.793,14.958
import,pools,13609346.823,17.057
import,transactions,13609346.808,17.101
import,op_return,13609359.118,17.757
import,investing,13609376.996,2.251
import,market,13609376.979,9.530
import,distribution,13609376.978,257.632
import,capital_sentiment,13609634.902,1.954
import,indicators,13609634.872,2.744
import,bedrock,13609634.944,6.066
import,coinflow,13609634.896,13.659
import,cointime,13609634.879,16.165
import,supply,13609651.116,1.294
import,rarity_meter,13609651.134,35.603
compute,indexer,13609687.140,2587.769
compute,mappings,13612286.758,9.975
compute,blocks,13612296.773,531.541
compute,price,13612829.437,140737.255
compute,inputs,13612830.151,271549.812
compute,market,13884380.264,45838.994
compute,transactions,13884380.279,709176.291
compute,op_return,14593556.871,10736.041
compute,mining,14593556.870,85101.607
compute,outputs,13884380.909,2066687.385
compute,investing,15951070.243,1.101
compute,pools,15951071.432,13833.975
compute,distribution,15951071.388,2657760.571
compute,supply,18608832.479,38.016
compute,capital_sentiment,18608832.467,121.376
compute,indicators,18608832.451,277.465
compute,coinflow,18608832.473,3184.294
compute,cointime,18608870.556,5382.835
compute,bedrock,18614253.790,113496.413
compute,rarity_meter,18727750.593,2936.141
import,indexer,18737974.551,461.338
import,mappings,18738435.911,4.875
import,constants,18738440.804,0.175
import,price,18738440.993,1.807
import,blocks,18738442.816,46.104
import,outputs,18738488.978,21.261
import,mining,18738489.001,24.956
import,pools,18738488.999,26.817
import,op_return,18738514.070,60.400
import,inputs,18738488.967,89.049
import,transactions,18738489.003,171.971
import,investing,18738661.519,2.065
import,market,18738661.411,20.143
import,distribution,18738661.411,356.177
import,capital_sentiment,18739017.714,13.277
import,indicators,18739017.674,14.744
import,coinflow,18739017.678,27.932
import,bedrock,18739017.708,32.876
import,cointime,18739017.677,34.880
import,supply,18739052.637,1.986
import,rarity_meter,18739052.657,35.529
compute,indexer,18739088.688,1551.612
compute,mappings,18740646.966,3.419
compute,blocks,18740650.409,4.842
compute,price,18740655.285,5.260
compute,inputs,18740655.292,366.404
compute,market,18741021.770,26.404
compute,transactions,18741021.755,44.599
compute,mining,18741066.388,22.767
compute,op_return,18741066.387,23.262
compute,outputs,18741021.750,609.228
compute,investing,18741631.013,0.001
compute,pools,18741631.058,1.982
compute,distribution,18741631.041,681.369
compute,indicators,18742312.477,0.565
compute,supply,18742312.481,2.747
compute,capital_sentiment,18742312.481,13.049
compute,coinflow,18742312.487,18.375
compute,cointime,18742315.244,24.223
compute,bedrock,18742339.501,167.204
compute,rarity_meter,18742506.737,292.381
