timestamp_ms,read_bytes,written_bytes
0,458752,434176
5005,991232,15141310464
10005,991232,15141310464
15001,991232,15141310464
20004,1462272,15182798848
25004,1462272,15249129472
30004,269885440,15385481216
35004,672493568,15599484928
40005,1075089408,15926435840
45004,2147856384,16323637248
50004,3086577664,16645316608
55004,4025389056,17253466112
60010,5366513664,17906356224
65009,6712569856,17928470528
70010,8104153088,18748698624
75010,9053970432,19398279168
80000,10193149952,19941691392
85008,11534405632,20565073920
90004,12471943168,21014982656
95010,13828206592,21691498496
100010,14969249792,21824212992
105010,16054947840,22515875840
110010,17402712064,22515875840
115003,18717323264,24385499136
120010,20024987648,24966938624
125010,21276266496,25166913536
130010,22378360832,25792045056
135000,24148750336,26601926656
140010,25666203648,27691413504
145010,27091890176,27691417600
150010,28607901696,27691417600
155010,30209830912,30342471680
160003,32242794496,31027015680
165010,33529659392,32359063552
170009,35391557632,32919302144
175003,37459570688,33172480000
180005,38393036800,34833997824
185005,39957446656,36752195584
190005,42015387648,37296058368
195004,43708116992,37355479040
200003,44753522688,39109222400
205004,47085621248,39550742528
210005,49138388992,39735795712
215005,50776100864,39905193984
220002,52156370944,43296808960
225005,55082418176,45115854848
230005,57551466496,45477830656
235000,59761106944,45545553920
240005,60797939712,47251681280
245005,62484258816,47942541312
250002,65038352384,48306606080
255005,66951761920,48645820416
260005,68804071424,48645820416
265005,69981728768,51263315968
270005,72888680448,53216694272
275005,75510988800,54670344192
280004,78127939584,54987984896
285005,80016257024,54987984896
290004,82382704640,54987984896
295005,82962026496,57404514304
300005,85196582912,57954742272
305005,87309295616,57954742272
310005,89524518912,57954742272
315005,91797139456,57954742272
320003,93190287360,58263748608
325005,94562091008,61811265536
330002,97103384576,63217651712
335004,99880411136,64500736000
340004,102140076032,64567394304
345005,104969232384,64567394304
350005,107184316416,64567394304
355005,107903557632,67690553344
360005,111287599104,68223713280
365005,113951080448,68299493376
370005,116396433408,68299493376
375005,118902972416,68299493376
380005,120994820096,68299493376
385000,121866665984,71009239040
390005,124725809152,73157222400
395005,127986585600,74811768832
400001,131217895424,76273487872
405004,134103842816,76562878464
410005,137154600960,76562878464
415005,139208310784,76562878464
420005,141575557120,76562878464
425005,142866862080,79305154560
430003,145431400448,81578688512
435000,148314578944,83372982272
440002,151737249792,84383236096
445005,154716758016,84383236096
450005,157190561792,84383236096
455005,159965503488,84383236096
460000,162944270336,84383236096
465005,165102321664,84383236096
470005,165873741824,84687552512
475005,167075409920,88888664064
480005,170521550848,90868654080
485005,174148276224,92550000640
490005,176962580480,93438283776
495005,179714461696,93438283776
500005,182990770176,93438283776
505005,184933023744,93438283776
510005,187489730560,93438283776
515010,189850185728,93438283776
520010,190704472064,93654040576
525001,192253886464,98541551616
530005,196078010368,100466147328
535005,199774314496,102148571136
540006,203449176064,102959566848
545009,206407458816,103134683136
550010,209178447872,103134683136
555010,211873910784,103134683136
560005,214642163712,103134683136
565010,217327513600,103134683136
570007,218522120192,103134683136
575000,220690542592,103245787136
580003,221263802368,107498045440
585010,224813543424,109762514944
590009,228495781888,111229186048
595003,231885824000,111318581248
600010,234739077120,111318581248
605010,238198874112,111318581248
610010,241661968384,111318581248
615009,244934041600,111318581248
620004,248013783040,111318581248
625001,252003569664,111318581248
630001,252696449024,111612522496
635010,253924335616,115110547456
640009,256597614592,115443949568
645010,259858223104,115443949568
650010,262979743744,115443949568
655009,265831538688,115443949568
660009,268866969600,115443949568
665006,271733936128,115443949568
670000,274429009920,115443949568
675003,275646894080,115676065792
680005,277064990720,120000954368
685007,281131360256,122012979200
690000,285800611840,123129495552
695004,289517191168,123170742272
700000,292544331776,123170742272
705004,295641219072,123170742272
710001,298856460288,123170742272
715010,301821792256,123170742272
720008,304725254144,123170742272
725001,307060531200,123170742272
730008,309834747904,123170742272
735000,312516263936,123172200448
740009,313196429312,127750819840
745010,316362776576,130262097920
750006,319611924480,131650244608
755010,323112886272,132411957248
760010,326587621376,132539142144
765004,330175864832,132539142144
770009,332387352576,132539142144
775005,335725072384,132539142144
780010,339386793984,132539142144
785010,342001688576,132539142144
790010,345742409728,132539142144
795000,348483244032,132539142144
800010,353266900992,132539142144
805010,356918489088,132539142144
810003,357353426944,134528704512
815007,360052813824,137233281024
820010,364569096192,139037007872
825008,369359974400,139443212288
830009,374706970624,139823697920
835010,379663826944,140000751616
840002,384093626368,140000751616
845009,387672461312,140000751616
850010,390627176448,140000751616
855002,393933778944,140000751616
860008,396581715968,140000751616
865010,397552652288,143116042240
870003,401407340544,144094285824
875009,405029982208,144576462848
880010,408039985152,144724291584
885008,410881900544,144724291584
890010,413755355136,144724291584
895004,418304802816,144724291584
900002,422437187584,144724291584
905010,424836128768,144724291584
910004,428705615872,144724291584
915010,430117101568,148258426880
920010,433974304768,150571540480
925002,438679691264,152625102848
930002,443020865536,153459650560
935000,448105005056,153459650560
940009,452730388480,153459650560
945002,456632754176,153459650560
950010,460057804800,153459650560
955000,463666839552,153459650560
960010,466684686336,153459650560
965010,469470928896,153459650560
970010,470489042944,156385366016
975010,474629345280,157453312000
980010,478200766464,158212071424
985010,481144303616,158292553728
990010,484349120512,158292553728
995008,487711498240,158292553728
1000002,490615185408,158292553728
1005001,493888700416,158292553728
1010010,496723169280,158292553728
1015010,499681525760,158292553728
1020010,501213257728,158823223296
1025010,504079138816,163425447936
1030004,508417662976,165511958528
