phase,plugin,start_ms,duration_ms
import,indexer,0.339,585.847
import,mappings,586.379,16.674
import,constants,603.377,0.233
import,price,603.727,15.756
import,blocks,619.689,126.415
import,pools,746.286,514.234
import,inputs,746.260,519.154
import,outputs,746.282,524.783
import,mining,746.254,537.077
import,transactions,746.250,542.143
import,op_return,1283.544,300.777
import,investing,1584.596,6.747
import,market,1584.585,121.649
import,distribution,1584.559,1430.301
import,capital_sentiment,3014.997,12.272
import,indicators,3014.999,124.717
import,bedrock,3014.995,143.732
import,coinflow,3015.014,614.081
import,cointime,3014.985,618.601
import,supply,3633.752,16.819
import,rarity_meter,3633.770,448.996
compute,indexer,14088.762,7791617.007
import,indexer,7827149.677,457.787
import,mappings,7827607.505,15.263
import,constants,7827622.801,0.247
import,price,7827623.072,11.284
import,blocks,7827634.382,14.918
import,mining,7827649.557,16.869
import,pools,7827649.567,23.100
import,transactions,7827649.548,29.812
import,inputs,7827649.540,34.752
import,outputs,7827649.563,39.003
import,op_return,7827666.826,34.960
import,investing,7827701.950,2.287
import,market,7827701.949,25.853
import,distribution,7827701.943,319.472
import,capital_sentiment,7828021.563,6.530
import,indicators,7828021.522,13.870
import,bedrock,7828021.541,24.979
import,coinflow,7828021.548,35.765
import,cointime,7828021.538,42.904
import,supply,7828064.554,14.413
import,rarity_meter,7828064.576,62.786
compute,indexer,7828128.088,1160.166
compute,mappings,7829293.312,9.110
compute,blocks,7829302.465,451.504
compute,price,7829754.056,87912.392
compute,inputs,7829754.042,93987.306
compute,market,7923741.691,677.308
compute,outputs,7923741.568,646167.991
compute,transactions,7923741.593,811143.456
compute,op_return,8734885.129,10654.631
compute,mining,8734885.126,40112.429
compute,investing,8774998.120,0.012
compute,pools,8774998.212,12772.014
compute,distribution,8774998.196,1888075.359
compute,supply,10663073.671,35.773
compute,capital_sentiment,10663073.669,108.984
compute,indicators,10663073.675,271.463
compute,coinflow,10663073.688,3285.930
compute,cointime,10663109.502,5841.480
compute,bedrock,10668951.055,136917.096
compute,rarity_meter,10805868.847,2933.970
import,indexer,10809588.624,458.566
import,mappings,10810047.219,10.625
import,constants,10810057.866,0.050
import,price,10810057.938,19.041
import,blocks,10810077.012,23.693
import,outputs,10810100.797,31.473
import,pools,10810100.815,41.145
import,mining,10810100.797,56.520
import,op_return,10810157.642,56.794
import,inputs,10810100.780,131.079
import,transactions,10810100.801,211.062
import,investing,10810312.015,1.383
import,market,10810312.018,28.083
import,distribution,10810312.012,482.712
import,capital_sentiment,10810794.955,8.086
import,indicators,10810794.873,26.410
import,bedrock,10810794.891,48.743
import,coinflow,10810794.872,70.782
import,cointime,10810794.877,81.872
import,supply,10810876.873,6.085
import,rarity_meter,10810876.897,39.888
compute,indexer,10810918.333,642.477
compute,mappings,10811573.394,3.875
compute,blocks,10811577.311,4.476
compute,price,10811581.817,4.323
compute,inputs,10811581.821,69.403
compute,market,10811651.295,32.096
compute,transactions,10811651.294,37.588
compute,mining,10811688.922,23.286
compute,op_return,10811688.923,25.068
compute,outputs,10811651.296,340.795
compute,investing,10811992.165,0.001
compute,pools,10811992.218,3.024
compute,distribution,10811992.207,610.875
compute,indicators,10812603.167,0.608
compute,supply,10812603.257,3.193
compute,capital_sentiment,10812603.184,12.480
compute,coinflow,10812603.262,25.417
compute,cointime,10812606.474,34.651
compute,bedrock,10812641.163,169.435
compute,rarity_meter,10812810.644,291.518
