timestamp_ms,phys_footprint,phys_footprint_peak
0,13631488,15728640
5933,630194176,631242752
11556,630194176,631242752
17217,651165696,651165696
22865,1012924416,1039138816
28499,1624244224,1643118592
34140,1454374912,1689255936
39775,2238709760,2238709760
45470,2496659456,2782920704
51141,2800746496,2949644288
56827,3178233856,3600809984
62466,3662675968,3944742912
68120,3779067904,4169138176
73794,3492806656,4745854976
79470,3576692736,4745854976
85177,3774873600,4747952128
90867,4729077760,4929355776
96587,4941938688,5311037440
102256,4349493248,6135218176
107955,5462032384,6135218176
113624,5172625408,6647971840
119355,6163529728,6647971840
125045,5448400896,7129268224
130738,6894387200,7129268224
136416,6224347136,7672430592
142140,7568621568,7672430592
147826,6359613440,8238661632
153545,7745830912,8238661632
159219,8796504064,8900313088
164912,7416578048,8900313088
170619,8605663232,8900313088
176343,9430892544,9507438592
182047,7570718720,10455351296
187764,8313110528,10455351296
193471,9441378304,10455351296
199166,10737418240,10737418240
204927,7592738816,10737418240
210653,8368685056,10737418240
216367,9093251072,10737418240
222065,10261364736,10737418240
227736,8010072064,10737418240
233384,7864320000,10737418240
239066,9792651264,10737418240
244724,9978249216,10737418240
250515,10737418240,10737418240
256205,10737418240,11811160064
261865,11811160064,11811160064
267616,8211398656,11811160064
273383,8599371776,11811160064
279068,9042919424,11811160064
284748,10058989568,11811160064
290434,10472128512,11811160064
296103,11811160064,11811160064
301817,11811160064,11811160064
307507,8234467328,12884901888
313168,8195670016,12884901888
318848,9473884160,12884901888
324516,10092544000,12884901888
330181,10260316160,12884901888
335839,11811160064,12884901888
341493,11811160064,12884901888
347238,12884901888,12884901888
353034,10737418240,12884901888
358924,7660896256,12884901888
364775,8611954688,12884901888
370644,9693036544,12884901888
376484,10376708096,12884901888
382271,10737418240,12884901888
388078,11811160064,12884901888
393895,10737418240,12884901888
399655,11811160064,12884901888
405461,12884901888,12884901888
411270,11811160064,12884901888
416958,12884901888,13958643712
422943,9236905984,13958643712
428792,8866758656,13958643712
434611,9789505536,13958643712
440384,10737418240,13958643712
446293,10737418240,13958643712
452142,11811160064,13958643712
457895,12884901888,13958643712
463713,12884901888,13958643712
469510,12884901888,13958643712
475415,12884901888,13958643712
481274,12884901888,13958643712
487113,13958643712,13958643712
493013,10737418240,13958643712
498955,8808038400,13958643712
504767,9341763584,13958643712
510663,10737418240,13958643712
516523,10737418240,13958643712
522388,11811160064,13958643712
528165,11811160064,13958643712
533939,12884901888,13958643712
539745,12884901888,13958643712
545527,12884901888,13958643712
551377,12884901888,13958643712
557127,12884901888,13958643712
562947,13958643712,13958643712
568888,9074376704,13958643712
574754,9510584320,13958643712
580668,9281994752,13958643712
586535,9921626112,13958643712
592331,11811160064,13958643712
598124,11811160064,13958643712
603969,11811160064,13958643712
609737,12884901888,13958643712
615578,11811160064,13958643712
621341,12884901888,13958643712
627235,12884901888,13958643712
632952,12884901888,13958643712
638718,10737418240,13958643712
644553,8147435520,13958643712
650432,9698279424,13958643712
656290,9118416896,13958643712
662129,9651093504,13958643712
667947,10737418240,13958643712
673814,11811160064,13958643712
679688,10737418240,13958643712
685470,12884901888,13958643712
691298,12884901888,13958643712
697173,12884901888,13958643712
703006,13958643712,13958643712
708843,13958643712,13958643712
714642,10737418240,15032385536
720505,9222225920,15032385536
726417,8412725248,15032385536
732279,10323230720,15032385536
738117,10737418240,15032385536
744020,10737418240,15032385536
749869,11811160064,15032385536
755634,10737418240,15032385536
761436,12884901888,15032385536
767375,11811160064,15032385536
773172,12884901888,15032385536
778981,13958643712,15032385536
784844,13958643712,15032385536
790742,8340373504,15032385536
796625,8406433792,15032385536
802452,10138681344,15032385536
808371,9326034944,15032385536
814141,10737418240,15032385536
819999,10009706496,15032385536
825806,10737418240,15032385536
831659,12884901888,15032385536
837521,12884901888,15032385536
843414,11811160064,15032385536
849260,11811160064,15032385536
855040,8069840896,15032385536
860887,9918480384,15032385536
866735,9732882432,15032385536
872580,10737418240,15032385536
878426,11811160064,15032385536
884278,10737418240,15032385536
890085,11811160064,15032385536
895875,10737418240,15032385536
901708,13958643712,15032385536
907566,12884901888,15032385536
913406,11811160064,15032385536
919196,8132755456,15032385536
925117,9206497280,15032385536
931059,9893314560,15032385536
937006,9664724992,15032385536
942902,10737418240,15032385536
948727,10737418240,15032385536
954580,11811160064,15032385536
960446,11811160064,15032385536
966271,11811160064,15032385536
972022,12884901888,15032385536
977803,12884901888,15032385536
983583,12884901888,15032385536
989569,9312403456,15032385536
995422,10191110144,15032385536
1001310,9491709952,15032385536
1007142,10737418240,15032385536
1013110,10279190528,15032385536
1018935,11811160064,15032385536
1024779,10737418240,15032385536
1030550,11811160064,15032385536
1036378,11811160064,15032385536
1042219,11811160064,15032385536
1048011,12884901888,15032385536
1053839,13958643712,15032385536
1059681,13958643712,15032385536
1065434,12884901888,15032385536
1071304,9633267712,15032385536
1077141,9171894272,15032385536
1083018,8824815616,15032385536
1088891,10737418240,15032385536
1094786,10255073280,15032385536
1100638,9475981312,15032385536
1106422,11811160064,15032385536
1112256,10737418240,15032385536
1118046,10737418240,15032385536
1123921,12884901888,15032385536
1129691,10737418240,15032385536
1135571,8955887616,15032385536
1141389,9472835584,15032385536
1147256,10737418240,15032385536
1153166,9989783552,15032385536
1159057,9057599488,15032385536
1164855,11811160064,15032385536
1170785,10737418240,15032385536
1176670,10446962688,15032385536
1182513,10737418240,15032385536
1188375,11811160064,15032385536
1194191,11811160064,15032385536
1199965,11811160064,15032385536
1205841,9297723392,15032385536
1211724,9218031616,15032385536
1217589,10034872320,15032385536
1223492,10227810304,15032385536
1229403,10179575808,15032385536
1235272,10269753344,15032385536
1241150,9850322944,15032385536
1246998,10737418240,15032385536
1252878,10737418240,15032385536
1258746,10287579136,15032385536
1264569,11811160064,15032385536
1270399,11811160064,15032385536
1276231,10737418240,15032385536
1282034,7930380288,15032385536
1287923,9461301248,15032385536
1293804,9690939392,15032385536
1299678,9296674816,15032385536
1305544,8792309760,15032385536
1311368,9512681472,15032385536
1317259,10089398272,15032385536
1323128,10347347968,15032385536
1328946,10435428352,15032385536
1334812,10439622656,15032385536
1340599,11811160064,15032385536
1346416,11811160064,15032385536
1352198,8902410240,15032385536
1358103,8474591232,15032385536
1363978,8131706880,15032385536
1369787,10152312832,15032385536
1375722,10127147008,15032385536
1381596,9604956160,15032385536
1387495,9185525760,15032385536
1393343,10737418240,15032385536
1399254,10150215680,15032385536
1405105,10737418240,15032385536
1410906,11811160064,15032385536
1416720,10737418240,15032385536
1422530,8947499008,15032385536
1428458,8901361664,15032385536
1434324,9477029888,15032385536
1440253,8886681600,15032385536
1446103,9225371648,15032385536
1452002,10374610944,15032385536
1457858,9814671360,15032385536
1463790,10737418240,15032385536
1469645,11811160064,15032385536
1475520,10737418240,15032385536
1481363,10371465216,15032385536
1487207,7623147520,15032385536
1493097,8270118912,15032385536
1498958,9121562624,15032385536
1504831,8731492352,15032385536
1510701,10170138624,15032385536
1516549,10737418240,15032385536
1522433,9790554112,15032385536
1528286,9511632896,15032385536
1534093,11811160064,15032385536
1539944,11811160064,15032385536
1545739,10737418240,15032385536
1551603,10233053184,15032385536
1557445,11811160064,15032385536
1563272,9402580992,15032385536
1569159,9693036544,15032385536
1575041,9899606016,15032385536
1580936,9178185728,15032385536
1586841,9493807104,15032385536
1592712,11811160064,15032385536
1598588,10737418240,15032385536
1604455,10737418240,15032385536
1610309,9863954432,15032385536
1616121,11811160064,15032385536
1621991,11811160064,15032385536
1627822,11811160064,15032385536
1633701,10737418240,15032385536
1639519,10737418240,15032385536
1645328,7831814144,15032385536
1651162,10082058240,15032385536
1657079,9937354752,15032385536
1663034,9334423552,15032385536
1668935,8666480640,15032385536
1674738,11811160064,15032385536
1680491,11811160064,15032385536
1686330,11811160064,15032385536
1692186,10737418240,15032385536
1698054,9956229120,15032385536
1703868,11811160064,15032385536
1709641,12884901888,15032385536
1715399,12884901888,15032385536
1721142,10737418240,15032385536
1727036,9895411712,15032385536
1732872,10368319488,15032385536
1738731,9600761856,15032385536
1744598,9898557440,15032385536
1750422,11811160064,15032385536
1756313,10737418240,15032385536
1762208,10244587520,15032385536
1768038,10737418240,15032385536
1773949,11811160064,15032385536
1779807,11811160064,15032385536
1785594,11811160064,15032385536
1791453,11811160064,15032385536
1797330,10737418240,15032385536
1803194,10737418240,15032385536
1808966,7650410496,15032385536
1814826,9272557568,15032385536
1820692,9945743360,15032385536
1826558,9270460416,15032385536
1832458,8780775424,15032385536
1838392,8463056896,15032385536
1844238,9652142080,15032385536
1850144,10737418240,15032385536
1855945,10737418240,15032385536
1861805,10737418240,15032385536
1867661,10737418240,15032385536
1873512,10256121856,15032385536
1879309,8770289664,15032385536
1885186,8536457216,15032385536
1891043,8063549440,15032385536
1896890,8190427136,15032385536
1902738,8999927808,15032385536
1908674,8884584448,15032385536
1914521,8916041728,15032385536
1920382,8580497408,15032385536
1926198,9633267712,15032385536
1932015,10439622656,15032385536
1937883,10251927552,15032385536
1943711,9924771840,15032385536
1949579,9604956160,15032385536
1955437,9549381632,15032385536
1961281,9187622912,15032385536
1967136,9284091904,15032385536
1973033,7469006848,15032385536
1978911,8499757056,15032385536
1984790,8447328256,15032385536
1990642,8896118784,15032385536
1996520,8602517504,15032385536
2002342,8491368448,15032385536
2008204,9904848896,15032385536
2014106,9458155520,15032385536
2019970,9965666304,15032385536
2025890,10272899072,15032385536
2031768,9563013120,15032385536
2037580,10737418240,15032385536
2043441,7955546112,15032385536
2049360,7627341824,15032385536
2055246,8930721792,15032385536
2061147,8776581120,15032385536
2067048,8279556096,15032385536
2072914,9708765184,15032385536
2078855,8977907712,15032385536
2084691,10315890688,15032385536
2090622,10737418240,15032385536
