phase,plugin,start_ms,duration_ms
import,indexer,0.554,372.569
import,mappings,373.133,8.105
import,constants,381.260,0.057
import,price,381.326,7.733
import,blocks,389.080,191.383
import,inputs,580.571,4380.691
import,pools,580.647,4410.975
import,outputs,580.550,4437.207
import,mining,580.566,4607.418
import,transactions,580.549,4685.865
import,op_return,5188.113,472.841
import,investing,5661.068,4.528
import,market,5661.072,185.399
import,distribution,5661.056,1884.056
import,capital_sentiment,7545.251,3.876
import,indicators,7545.198,16.458
import,bedrock,7545.232,92.274
import,coinflow,7545.226,822.483
import,cointime,7545.205,894.631
import,supply,8439.926,29.428
import,rarity_meter,8439.941,741.143
compute,indexer,19192.021,14254308.422
import,indexer,14276237.040,437.405
import,mappings,14276674.468,7.345
import,constants,14276681.975,0.241
import,price,14276682.232,2.523
import,blocks,14276684.808,219.486
import,mining,14276904.574,19.674
import,inputs,14276905.368,23.743
import,outputs,14276904.520,246.229
import,transactions,14276904.545,291.215
import,pools,14276904.593,293.924
import,op_return,14276924.865,278.084
import,investing,14277203.134,3.815
import,market,14277203.133,139.057
import,distribution,14277203.123,393.177
import,capital_sentiment,14277596.434,1.781
import,indicators,14277596.379,3.256
import,bedrock,14277596.423,358.135
import,coinflow,14277596.399,360.168
import,cointime,14277596.389,362.135
import,supply,14277958.692,4.559
import,rarity_meter,14277958.720,53.374
compute,indexer,14278012.548,2112.547
compute,mappings,14280131.987,8.845
compute,blocks,14280140.864,443.797
compute,price,14280585.571,142410.832
compute,inputs,14280584.739,297697.684
compute,market,14578282.765,19978.962
compute,transactions,14578282.737,758059.569
compute,op_return,15336342.850,10728.586
compute,mining,15336342.636,92528.008
compute,outputs,14578283.671,2152480.213
compute,investing,16730770.676,1.629
compute,pools,16730772.426,15426.993
compute,distribution,16730772.385,2620396.588
compute,supply,19351169.291,31.848
compute,capital_sentiment,19351169.247,103.961
compute,indicators,19351169.249,272.832
compute,coinflow,19351169.294,2736.275
compute,cointime,19351201.176,4713.140
compute,bedrock,19355914.554,105694.866
compute,rarity_meter,19461610.133,2559.012
import,indexer,19471021.307,462.576
import,mappings,19471483.907,6.901
import,constants,19471490.826,0.202
import,price,19471491.041,2.446
import,blocks,19471493.499,15.659
import,outputs,19471509.219,22.330
import,pools,19471509.240,32.499
import,mining,19471509.214,34.747
import,op_return,19471544.068,58.695
import,inputs,19471509.207,96.029
import,transactions,19471509.234,177.339
import,investing,19471686.688,2.007
import,market,19471686.687,27.146
import,distribution,19471686.682,353.231
import,capital_sentiment,19472040.684,1.362
import,indicators,19472040.002,3.584
import,coinflow,19472040.686,19.012
import,cointime,19472040.012,30.915
import,bedrock,19472040.685,41.719
import,supply,19472082.475,2.446
import,rarity_meter,19472082.511,35.639
compute,indexer,19472119.016,1095.431
compute,mappings,19473222.247,3.588
compute,blocks,19473225.863,4.517
compute,price,19473230.403,3.955
compute,inputs,19473230.409,213.177
compute,market,19473443.639,24.113
compute,transactions,19473443.638,43.501
compute,mining,19473487.165,23.063
compute,op_return,19473487.164,23.704
compute,outputs,19473443.637,471.606
compute,investing,19473915.296,0.001
compute,pools,19473915.329,9.426
compute,distribution,19473915.329,545.662
compute,indicators,19474461.051,0.263
compute,supply,19474461.087,2.386
compute,capital_sentiment,19474461.054,12.394
compute,coinflow,19474461.109,18.380
compute,cointime,19474463.487,24.445
compute,bedrock,19474487.955,166.880
compute,rarity_meter,19474654.869,253.790
