timestamp_ms,bytes_read,bytes_written
0,1003520,57479168
5869,137543680,464687104
11469,137543680,573169664
17123,137543680,686792704
22788,137547776,809746432
28446,137547776,932728832
34049,137547776,1094332416
39780,271724544,1332756480
45453,541208576,1691021312
51146,809598976,2171236352
56762,943820800,2747674624
62411,1212211200,3406954496
68092,1748467712,4151599104
73732,2419220480,4779048960
79402,3018825728,5629779968
85014,3492237312,6538706944
90675,4162850816,7361122304
96355,4833386496,8432996352
102059,5638045696,9237311488
107725,6576455680,10104082432
113390,7246921728,11179048960
119079,8051826688,12266774528
124714,8724180992,13418663936
130342,9395970048,14638198784
135975,10067677184,15650783232
141669,10756321280,16610000896
147398,11677319168,17676070912
152972,12581236736,18769018880
158607,13373517824,19934597120
164287,14704971776,20727488512
170023,15766102016,21731856384
175712,16926486528,22659760128
181409,18308165632,23736377344
187088,19217989632,24736260096
192760,20515045376,25748672512
198462,21649620992,26881159168
204227,23066951680,28051480576
209929,24091754496,29312716800
215597,25350025216,30374535168
221266,26404024320,31662649344
226785,27606851584,32889044992
232302,28657053696,34178932736
237848,29999476736,35368304640
243404,31506939904,36344905728
248909,32843632640,37784829952
254426,33927180288,38917947392
259930,35478306816,39889899520
265445,36993871872,41317310464
270981,38218252288,42459549696
276534,39802077184,43700330496
282044,41167347712,45045227520
287603,42605813760,46192840704
293128,44313264128,47350231040
298647,45573636096,48471277568
304186,47223365632,49897832448
309703,48719433728,51060174848
315227,50026717184,52272607232
320766,51761135616,53730435072
326311,53285818368,54552203264
331845,54913437696,56240394240
337399,56624529408,57186131968
342929,58346479616,58813415424
348472,60180164608,59776335872
354004,61720031232,61106425856
359554,63527477248,62412599296
365102,65197490176,63630684160
370651,66748977152,65087762432
376173,68557271040,65944850432
381746,70012731392,67449393152
387279,72102424576,68333953024
392809,73298460672,69651607552
398346,75564064768,70846656512
403889,77203296256,72043356160
409416,78973939712,73512411136
414980,80683233280,74304196608
420561,82764156928,75917238272
426113,84733935616,77159915520
431630,86464659456,78364684288
437189,88369901568,80067514368
442751,90439970816,80821002240
448306,91764891648,82311659520
453846,94255591424,83724328960
459390,95768678400,84546400256
